ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
045B,24/10/2006,0,0,NA,1,0,0,Autumn,2006,WEST,9.7,0,VGOOD,83,38.8,NA,1,0,0,045B39014,83,7.913817118
045B,08/05/2007,0,0,NA,1,1,1,Spring,2007,WEST,7.4,0.25,GOOD,84.5,38.2,NA,1,1,1,045B39210,84.5,5.613234896
045B,06/05/2008,0,NA,0,1,2,2,Spring,2008,WEST,8.8,0.25,GOOD,86,38.4,NA,2,4,8,045B39574,86,6.214239791
045B,05/07/2011,0,NA,0,1,5,5,Summer,2011,WEST,8.3,0.5,GOOD,86,38.2,NA,2,25,125,045B40729,86,5.861157984
045B,22/05/2013,0,NA,0,1,7,7,Spring,2013,WEST,7.8,0.75,POOR,83.5,37.6,NA,2,49,343,045B41416,83.5,6.210142153
045B,21/05/2014,0,NA,0,1,8,8,Spring,2014,WEST,7.8,0.75,FAIR,85,38.4,NA,2,64,512,045B41780,85,5.776389956
045E,14/08/2013,0,0,NA,2,0,0,Summer,2013,TRACKSIDE,3.6,0,FAIR,67,37.6,NA,1,0,0,045E41500,67,7.016604914
045G,05/08/2003,0,0,NA,1,0,0,Summer,2003,ARTHURS,4.2,NA,GOOD,66.5,38.7,NA,1,0,0,045G37838,66.5,8.439237519
045G,28/10/2003,0,0,NA,1,0,0,Autumn,2003,ARTHURS,8.7,NA,VERY_GOOD,80,39.3,NA,1,0,0,045G37922,80,8.24425251
045G,25/05/2004,0,0,NA,1,1,1,Spring,2004,ARTHURS,8.2,NA,FAIR,83,39,NA,1,1,1,045G38132,83,6.690030966
045K,17/07/2012,0,0,NA,1,0,0,Summer,2012,WEST,4.7,0,FAIR,72,38.9,NA,1,0,0,045K41107,72,6.836106368
045N,27/10/2009,0,0,NA,2,0,0,Autumn,2009,YEW,5.6,0,FAIR,74,38.4,NA,1,0,0,045N40113,74,7.286336205
045P,05/08/2008,0,0,NA,1,0,0,Summer,2008,KENNEL,6.3,0,GOOD,77,38.6,NA,1,0,0,045P39665,77,6.973899554
